model,threshold,mean_precision,mean_recall,mean_f1
hybrid_alpha_0.6,0.01,0.009861826682571042,0.98975,0.01952906493340165
hybrid_alpha_0.6,0.02,0.00986556993793987,0.9885,0.019536157240766055
hybrid_alpha_0.6,0.03,0.009875342672818166,0.987,0.01955501517512578
hybrid_alpha_0.6,0.04,0.009891337917894061,0.9855,0.019586057763781556
hybrid_alpha_0.6,0.05,0.009900143543813269,0.98225,0.019602620896742126
hybrid_alpha_0.6,0.06,0.009930814942061,0.979,0.019661943745948228
hybrid_alpha_0.6,0.07,0.00997010999009257,0.9745,0.019737756419830506
hybrid_alpha_0.6,0.08,0.010038010825187432,0.96925,0.019869123556310986
hybrid_alpha_0.6,0.09,0.010151623934757855,0.96425,0.020089657805091754
hybrid_alpha_0.6,0.1,0.010289980441750004,0.9565,0.020357375002163086
hybrid_alpha_0.6,0.11,0.010465094241478096,0.94825,0.020696240437050897
hybrid_alpha_0.6,0.12,0.010671070576140317,0.93775,0.021093971306950253
hybrid_alpha_0.6,0.13,0.010880844479394813,0.925,0.02149759636720326
hybrid_alpha_0.6,0.14,0.011127851834323367,0.912,0.02197261271257178
hybrid_alpha_0.6,0.15,0.01140053352351473,0.89875,0.02249661632470335
hybrid_alpha_0.6,0.16,0.011711558744902777,0.88475,0.023093055001564205
hybrid_alpha_0.6,0.17,0.0119493558351184,0.866,0.0235439478051014
hybrid_alpha_0.6,0.18,0.012178083501642503,0.847,0.02397569522113029
hybrid_alpha_0.6,0.19,0.012480879946519223,0.83,0.024548967136071274
hybrid_alpha_0.6,0.2,0.012775855905829353,0.8135,0.025105546880417644
hybrid_alpha_0.6,0.21,0.013002176741644885,0.7925,0.025523914294236772
hybrid_alpha_0.6,0.22,0.013373622408425795,0.777,0.026221283101023216
hybrid_alpha_0.6,0.23,0.013708187142687966,0.759,0.026838907771538276
hybrid_alpha_0.6,0.24,0.014041290189433649,0.73925,0.027441850639256492
hybrid_alpha_0.6,0.25,0.014170417838250687,0.71325,0.027648491620650598
hybrid_alpha_0.6,0.26,0.014550090538649267,0.69425,0.02831380110245396
hybrid_alpha_0.6,0.27,0.015054832353819728,0.6755,0.02918994201599013
hybrid_alpha_0.6,0.28,0.01523483132966232,0.65275,0.029440013875697443
hybrid_alpha_0.6,0.29,0.015384703586023262,0.62625,0.029639719035023524
hybrid_alpha_0.6,0.3,0.015591304341571174,0.59875,0.029852637231150347
hybrid_alpha_0.6,0.31,0.0159035426554677,0.58025,0.03040165097127537
hybrid_alpha_0.6,0.32,0.016185952375747954,0.55675,0.030823811666312515
hybrid_alpha_0.6,0.33,0.01674509800033517,0.5375,0.031695352090575606
hybrid_alpha_0.6,0.34,0.01734653015563273,0.51375,0.032319296950866404
hybrid_alpha_0.6,0.35,0.0178530804274407,0.493,0.032987515833958925
hybrid_alpha_0.6,0.36,0.018309601703625687,0.4735,0.03363401553947401
hybrid_alpha_0.6,0.37,0.01832440753190018,0.45025,0.033406043006464735
hybrid_alpha_0.6,0.38,0.018910200957598718,0.43175,0.03418449836815068
hybrid_alpha_0.6,0.39,0.019652890490795487,0.4165,0.03517847973425862
hybrid_alpha_0.6,0.4,0.020160792026540628,0.3995,0.03574374851688833
hybrid_alpha_0.6,0.41,0.02135371590961274,0.3845,0.03707896204300944
hybrid_alpha_0.6,0.42,0.021923940891442138,0.36725,0.037691689994623065
hybrid_alpha_0.6,0.43,0.02238986662784846,0.35175,0.038144558902251734
hybrid_alpha_0.6,0.44,0.023089284774247473,0.3345,0.03892869111048278
hybrid_alpha_0.6,0.45,0.023757980249712235,0.3165,0.039396643269889856
hybrid_alpha_0.6,0.46,0.024439715813357882,0.299,0.04007719059296194
hybrid_alpha_0.6,0.47,0.0248954274680182,0.2825,0.04034732804804203
hybrid_alpha_0.6,0.48,0.02592264646779171,0.26975,0.04117457492598761
hybrid_alpha_0.6,0.49,0.026259500793456892,0.255,0.041343028782034594
hybrid_alpha_0.6,0.5,0.02709541270629282,0.2425,0.04196259481235687
lightfm,0.01,0.009865360183633534,0.99075,0.01953618858665515
lightfm,0.02,0.009863450600902521,0.98975,0.019532248792535616
lightfm,0.03,0.009869203642130401,0.9895,0.01954347882893043
lightfm,0.04,0.009877523937005575,0.98925,0.019559741364916554
lightfm,0.05,0.009874337080361404,0.98775,0.019553196867581273
lightfm,0.06,0.00987760620803765,0.98675,0.019559406286691852
lightfm,0.07,0.00987787796170311,0.98525,0.019559638193997822
